CustomerID,Recency,Frequency,Monetary,AOV,UniqueProducts,UniqueCategories,Tenure,AvgQty,R_Score,F_Score,M_Score,RFM_Score,AgeGroup,Gender,LoyaltyTier,PreferredChannel,Country
12001,131,8,4453.46,212.06952380952384,19,8,477,12.142857142857142,3,3,4,334,45-54,F,Gold,Web,United Kingdom
12002,80,10,2831.7200000000003,128.71454545454546,19,8,529,2.272727272727273,3,3,3,333,35-44,M,Silver,Mobile App,Germany
12003,406,1,107.74,53.870000000000005,2,2,0,2.5,1,1,1,111,18-24,F,Bronze,Web,United Kingdom
12004,63,12,4107.150000000001,128.34843750000002,19,7,469,2.71875,4,4,3,443,45-54,F,Platinum,Mobile App,United Kingdom
12005,254,14,7089.92,141.79840000000002,30,8,214,3.78,2,4,4,244,25-34,F,Gold,In-Store,United Kingdom
12006,166,6,689.79,57.4825,12,8,170,2.0,2,2,2,222,35-44,F,Gold,Mobile App,United Kingdom
12007,66,7,2182.6,136.4125,14,6,428,2.875,4,2,3,423,25-34,F,Bronze,Web,United Kingdom
12008,23,9,2875.5,130.70454545454547,16,8,152,2.5454545454545454,5,3,3,533,45-54,F,Bronze,In-Store,United Kingdom
12009,57,7,2204.39,146.95933333333332,14,6,277,2.933333333333333,4,2,3,423,35-44,M,Bronze,Web,United Kingdom
12010,55,9,2441.84,110.99272727272728,15,8,222,2.227272727272727,4,3,3,433,55-64,F,Gold,Web,United Kingdom
12011,98,5,999.75,90.88636363636364,9,5,191,1.6363636363636365,3,2,2,322,35-44,M,Gold,In-Store,United Kingdom
12012,1,44,73145.78,377.0401030927835,78,8,304,4.443298969072165,5,5,5,555,45-54,M,Silver,Web,United Kingdom
12013,126,4,619.73,88.53285714285714,6,4,204,2.4285714285714284,3,2,2,322,18-24,F,Platinum,Mobile App,United Kingdom
12014,175,4,1297.75,129.775,10,7,230,3.0,2,2,2,222,45-54,M,Bronze,Mobile App,United Kingdom
12015,115,10,3503.0,134.73076923076923,19,8,463,3.0,3,3,3,333,25-34,M,Bronze,Web,United Kingdom
12016,431,2,889.1,444.55,2,1,123,2.0,1,1,2,112,45-54,F,Silver,Mobile App,United Kingdom
12017,165,12,24804.65,516.7635416666667,26,8,155,4.583333333333333,2,4,5,245,45-54,M,Silver,Web,France
12018,24,34,28133.75,160.7642857142857,63,8,351,3.8,5,5,5,555,25-34,M,Silver,Web,EIRE
12019,63,7,20118.93,1341.262,12,7,354,7.4,4,2,5,425,25-34,M,Bronze,Mobile App,United Kingdom
12020,198,2,483.54,80.58999999999999,6,4,305,2.1666666666666665,2,1,2,212,35-44,M,Bronze,Web,Belgium
12021,2,34,37640.5,233.7919254658385,67,8,480,4.236024844720497,5,5,5,555,35-44,F,Bronze,Mobile App,United Kingdom
12022,521,2,121.14,40.38,3,3,141,2.6666666666666665,1,1,1,111,25-34,M,Platinum,Mobile App,United Kingdom
12023,574,1,47.93,23.965,2,2,0,2.0,1,1,1,111,35-44,M,Gold,Phone,United Kingdom
12024,141,7,1015.47,53.445789473684215,15,7,272,2.210526315789474,3,2,2,322,65+,F,Silver,Web,United Kingdom
12025,123,4,307.81,43.97285714285714,7,5,355,2.857142857142857,3,2,1,321,45-54,F,Bronze,Web,United Kingdom
12026,70,9,2018.97,91.77136363636365,16,6,195,1.9545454545454544,4,3,2,432,45-54,F,Gold,Web,United Kingdom
12027,96,11,5907.49,246.14541666666665,19,8,392,3.458333333333333,3,4,4,344,55-64,F,Bronze,Mobile App,United Kingdom
12028,117,7,8052.39,473.67,13,6,337,13.529411764705882,3,2,4,324,35-44,M,Bronze,Web,United Kingdom
12029,1,40,38773.27,189.1379024390244,69,8,536,4.5512195121951216,5,5,5,555,18-24,F,Silver,In-Store,United Kingdom
12030,127,6,643.16,71.46222222222222,9,5,256,2.555555555555556,3,2,2,322,25-34,Other,Bronze,Mobile App,United Kingdom
12031,419,1,208.52,104.26,2,2,0,4.0,1,1,1,111,35-44,F,Bronze,Phone,United Kingdom
12032,136,7,4062.46,225.69222222222223,15,6,381,2.833333333333333,3,2,3,323,25-34,F,Bronze,In-Store,United Kingdom
12033,4,30,21688.22,147.53891156462586,65,8,377,3.2789115646258504,5,5,5,555,25-34,M,Bronze,Web,United Kingdom
12034,9,29,41517.34,286.3264827586207,61,8,596,4.0137931034482754,5,5,5,555,55-64,F,Silver,In-Store,United Kingdom
12036,429,1,8.37,8.37,1,1,0,1.0,1,1,1,111,18-24,M,Gold,Web,United Kingdom
12037,5,31,17519.06,117.57758389261744,60,8,387,2.7114093959731544,5,5,5,555,25-34,F,Silver,Mobile App,United Kingdom
12038,95,7,1194.26,54.28454545454545,17,8,348,2.090909090909091,3,2,2,322,35-44,M,Silver,Web,United Kingdom
12039,4,24,23124.82,197.6480341880342,50,8,422,4.897435897435898,5,5,5,555,18-24,M,Silver,Phone,USA
12040,70,12,4966.66,183.9503703703704,19,8,285,6.666666666666667,4,4,4,444,65+,F,Gold,Web,United Kingdom
12041,442,2,891.94,222.985,4,3,4,1.75,1,1,2,112,65+,F,Silver,Web,United Kingdom
12042,15,30,47321.34,317.59288590604024,60,8,391,4.463087248322148,5,5,5,555,45-54,F,Bronze,Phone,EIRE
12043,129,12,4270.55,133.4546875,21,8,377,2.5,3,4,3,343,25-34,F,Bronze,Web,Netherlands
12044,169,12,3025.22,97.58774193548386,22,7,260,2.5161290322580645,2,4,3,243,25-34,M,Bronze,Mobile App,United Kingdom
12046,62,7,799.27,61.48230769230769,10,6,318,1.7692307692307692,4,2,2,422,18-24,F,Bronze,In-Store,United Kingdom
12047,568,1,154.3,77.15,2,1,0,2.5,1,1,1,111,65+,F,Bronze,In-Store,Spain
12048,80,5,1246.06,113.2781818181818,10,7,93,2.8181818181818183,3,2,2,322,45-54,F,Silver,Mobile App,Spain
12049,117,10,2162.46,108.123,14,6,310,2.7,3,3,3,333,45-54,F,Bronze,Phone,United Kingdom
12050,538,2,260.5,130.25,2,2,90,1.5,1,1,1,111,25-34,Other,Bronze,Web,Australia
12051,171,14,14597.09,286.2174509803922,33,7,120,3.7450980392156863,2,4,4,244,35-44,M,Silver,Mobile App,United Kingdom
12052,75,8,2109.6,95.89090909090908,14,7,462,2.727272727272727,4,3,3,433,35-44,M,Bronze,Web,United Kingdom
12053,177,6,2062.02,128.87625,13,8,270,1.6875,2,2,2,222,35-44,M,Gold,Web,United Kingdom
12054,62,12,3723.25,124.10833333333332,20,7,352,2.466666666666667,4,4,3,443,35-44,F,Silver,Web,United Kingdom
12055,7,27,40009.67,305.4173282442748,55,8,248,4.923664122137405,5,5,5,555,35-44,F,Silver,Web,France
12056,54,10,6239.74,259.9891666666667,15,7,353,6.291666666666667,4,3,4,434,35-44,M,Gold,Mobile App,United Kingdom
12057,327,13,7617.49,200.46026315789476,29,8,335,7.868421052631579,2,4,4,244,18-24,F,Silver,Web,United Kingdom
12058,74,15,5002.38,147.12882352941176,19,7,487,2.9705882352941178,4,4,4,444,35-44,M,Bronze,Web,United Kingdom
12059,26,23,11334.37,105.92869158878506,49,8,416,3.4953271028037385,5,5,4,554,25-34,M,Gold,Mobile App,United Kingdom
12060,9,20,11301.76,129.90528735632185,46,8,614,3.816091954022988,5,5,4,554,55-64,M,Gold,In-Store,United Kingdom
12061,76,6,15889.49,1134.9635714285714,13,6,298,13.642857142857142,4,2,5,425,55-64,Other,Bronze,Web,United Kingdom
12062,526,2,90.4,30.133333333333336,3,3,30,1.6666666666666667,1,1,1,111,25-34,M,Bronze,Mobile App,United Kingdom
12063,54,9,4216.04,191.6381818181818,16,8,149,2.5,4,3,3,433,35-44,F,Silver,Mobile App,United Kingdom
12064,75,3,1531.82,170.20222222222222,9,6,407,2.555555555555556,4,2,2,422,18-24,F,Silver,Mobile App,United Kingdom
12065,10,38,56130.44,292.3460416666667,71,8,549,5.786458333333333,5,5,5,555,25-34,F,Silver,Phone,United Kingdom
12066,59,13,1696.7,56.556666666666665,23,8,246,2.1,4,4,2,442,35-44,M,Bronze,Web,Netherlands
12067,10,47,54070.83,232.06364806866952,81,8,494,4.789699570815451,5,5,5,555,45-54,F,Silver,Web,United Kingdom
12068,94,9,4481.64,235.87578947368425,16,6,530,2.8947368421052637,3,3,4,334,35-44,F,Gold,Mobile App,United Kingdom
12069,229,12,3605.63,100.1563888888889,32,8,189,2.583333333333333,2,4,3,243,25-34,F,Gold,Mobile App,Germany
12070,4,40,54090.28,280.260518134715,76,8,283,5.062176165803109,5,5,5,555,25-34,M,Bronze,Web,United Kingdom
12071,71,9,1351.06,67.553,13,7,271,2.25,4,3,2,432,35-44,Other,Bronze,Mobile App,United Kingdom
12072,259,13,7859.65,178.6284090909091,29,8,223,4.659090909090909,2,4,4,244,45-54,F,Bronze,Web,United Kingdom
12073,385,1,47.45,47.45,1,1,0,1.0,1,1,1,111,25-34,F,Bronze,Mobile App,EIRE
12074,288,13,4376.95,104.21309523809524,27,8,296,2.6666666666666665,2,4,4,244,35-44,F,Bronze,Phone,United Kingdom
12075,390,2,103.63,34.54333333333333,3,3,71,1.6666666666666667,1,1,1,111,25-34,M,Bronze,Web,Germany
12076,407,2,189.8,94.9,1,1,31,2.0,1,1,1,111,18-24,F,Gold,Web,Germany
12077,193,9,4966.85,150.51060606060608,24,8,183,2.484848484848485,2,3,4,234,35-44,F,Gold,In-Store,United Kingdom
12078,85,3,2769.71,276.971,8,6,577,10.9,3,2,3,323,25-34,F,Gold,In-Store,United Kingdom
12079,15,41,27899.67,143.8127319587629,73,8,269,3.314432989690722,5,5,5,555,45-54,F,Bronze,Mobile App,Australia
12080,36,37,52435.28,301.352183908046,72,8,606,4.591954022988506,4,5,5,455,35-44,F,Bronze,Web,United Kingdom
12081,517,1,50.22,50.22,1,1,0,2.0,1,1,1,111,25-34,M,Silver,Mobile App,United Kingdom
12082,425,2,1905.86,272.2657142857143,7,6,175,3.571428571428572,1,1,2,112,18-24,M,Bronze,Web,Norway
12083,43,13,3791.53,114.8948484848485,24,7,368,2.606060606060606,4,4,3,443,25-34,F,Gold,Mobile App,United Kingdom
12084,147,8,2576.66,112.02869565217392,20,8,508,2.0869565217391304,3,3,3,333,35-44,F,Bronze,Web,United Kingdom
12085,77,9,1787.2800000000002,99.29333333333336,17,7,418,2.611111111111111,4,3,2,432,25-34,F,Platinum,Mobile App,United Kingdom
12086,16,32,28584.53,165.22849710982658,68,8,439,3.606936416184971,5,5,5,555,35-44,F,Bronze,Web,United Kingdom
12087,280,1,127.08,127.08,1,1,0,4.0,2,1,1,211,25-34,M,Gold,Web,United Kingdom
12088,54,3,2938.23,419.7471428571429,6,4,434,16.714285714285715,4,2,3,423,25-34,M,Silver,Web,United Kingdom
12089,34,15,14693.08,185.98835443037976,47,8,295,3.759493670886076,5,4,4,544,65+,M,Platinum,Phone,United Kingdom
12090,358,1,51.81,51.81,1,1,0,3.0,1,1,1,111,18-24,F,Bronze,Phone,United Kingdom
12091,119,10,2879.42,125.19217391304348,14,7,412,2.1739130434782608,3,3,3,333,45-54,M,Bronze,In-Store,United Kingdom
12092,304,3,437.45,87.49,5,4,121,2.8,2,2,1,221,35-44,F,Bronze,In-Store,United Kingdom
12093,247,5,2347.07,213.37,8,6,347,3.4545454545454546,2,2,3,223,25-34,F,Silver,Phone,EIRE
12094,75,4,394.66,39.466,10,6,192,1.6,4,2,1,421,65+,M,Bronze,Mobile App,United Kingdom
12095,96,7,1461.97,76.94578947368421,15,8,424,2.421052631578948,3,2,2,322,35-44,M,Silver,Mobile App,United Kingdom
12096,2,43,35236.21,168.5943062200957,77,8,440,3.741626794258373,5,5,5,555,35-44,M,Bronze,Phone,United Kingdom
12097,77,12,3534.2,110.44375,20,8,438,2.59375,4,4,3,443,25-34,F,Silver,Web,Germany
12098,188,5,644.7500000000001,80.59375000000001,7,7,450,2.875,2,2,2,222,25-34,F,Bronze,Web,EIRE
12099,3,35,16222.12,94.86619883040936,71,8,623,2.467836257309941,5,5,5,555,25-34,F,Bronze,Mobile App,United Kingdom
12100,64,13,5968.9,186.528125,22,8,212,7.03125,4,4,4,444,35-44,M,Bronze,Mobile App,United Kingdom
12101,347,16,6433.66,114.88678571428572,38,8,264,4.303571428571429,1,4,4,144,25-34,M,Bronze,Web,United Kingdom
12102,251,16,5314.35,110.715625,31,8,261,2.708333333333333,2,4,4,244,55-64,M,Bronze,Web,United Kingdom
12103,317,1,175.78,87.89,2,2,0,2.0,2,1,1,211,35-44,M,Bronze,Mobile App,United Kingdom
12104,62,13,4307.9800000000005,134.624375,24,8,426,2.375,4,4,3,443,55-64,M,Bronze,Mobile App,United Kingdom
