CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12001.0,131,8,4803.49,2,2,3,223,At Risk
12002.0,80,10,2831.7200000000003,3,3,2,332,Potential Loyalists
12003.0,406,1,107.74000000000001,1,1,1,111,Lost Customers
12004.0,63,12,4107.150000000001,3,3,3,333,Potential Loyalists
12005.0,254,14,7089.92,2,3,3,233,At Risk
12006.0,166,6,689.79,2,2,1,221,At Risk
12007.0,66,7,2182.6,3,2,2,322,Potential Loyalists
12008.0,23,9,2875.5,4,2,2,422,Potential Loyalists
12009.0,57,7,2204.39,3,2,2,322,Potential Loyalists
12010.0,55,9,2441.84,3,2,2,322,Potential Loyalists
12011.0,98,5,999.75,3,2,2,322,Potential Loyalists
12012.0,1,44,83036.06999999999,4,4,4,444,Champions
12013.0,126,4,619.73,2,1,1,211,At Risk
12014.0,175,4,1297.75,2,1,2,212,At Risk
12015.0,115,10,3503.0,2,3,3,233,At Risk
12016.0,431,2,889.1,1,1,2,112,Lost Customers
12017.0,165,12,24804.65,2,3,4,234,At Risk
12018.0,24,34,28288.55,4,4,4,444,Champions
12019.0,63,7,20118.93,3,2,4,324,Potential Loyalists
12020.0,198,2,483.53999999999996,2,1,1,211,At Risk
12021.0,2,34,38859.39,4,4,4,444,Champions
12022.0,521,2,121.14,1,1,1,111,Lost Customers
12023.0,574,1,47.93,1,1,1,111,Lost Customers
12024.0,141,7,1015.47,2,2,2,222,At Risk
12025.0,123,4,307.81,2,1,1,211,At Risk
12026.0,70,9,2018.97,3,2,2,322,Potential Loyalists
12027.0,96,11,5907.49,3,3,3,333,Potential Loyalists
12028.0,117,7,12464.85,2,2,4,224,At Risk
12029.0,1,40,41183.26,4,4,4,444,Champions
12030.0,127,6,643.16,2,2,1,221,At Risk
12031.0,419,1,208.51999999999998,1,1,1,111,Lost Customers
12032.0,136,7,4062.46,2,2,3,223,At Risk
12033.0,4,30,22177.85,4,4,4,444,Champions
12034.0,9,29,59949.64000000001,4,4,4,444,Champions
12036.0,429,1,8.37,1,1,1,111,Lost Customers
12037.0,5,31,17519.06,4,4,4,444,Champions
12038.0,95,7,1194.26,3,2,2,322,Potential Loyalists
12039.0,4,24,26459.600000000002,4,4,4,444,Champions
12040.0,70,12,5227.4800000000005,3,3,3,333,Potential Loyalists
12041.0,442,2,891.94,1,1,2,112,Lost Customers
12042.0,15,30,56110.689999999995,4,4,4,444,Champions
12043.0,129,12,4270.55,2,3,3,233,At Risk
12044.0,169,12,3025.22,2,3,2,232,At Risk
12046.0,62,7,799.27,3,2,1,321,Potential Loyalists
12047.0,568,1,154.3,1,1,1,111,Lost Customers
12048.0,80,5,1246.06,3,2,2,322,Potential Loyalists
12049.0,117,10,2162.46,2,3,2,232,At Risk
12050.0,538,2,260.5,1,1,1,111,Lost Customers
12051.0,171,14,14597.09,2,3,4,234,At Risk
12052.0,75,8,2109.6,3,2,2,322,Potential Loyalists
12053.0,177,6,2062.02,2,2,2,222,At Risk
12054.0,62,12,3723.25,3,3,3,333,Potential Loyalists
12055.0,7,27,45822.14,4,4,4,444,Champions
12056.0,54,10,10225.539999999999,3,3,3,333,Potential Loyalists
12057.0,327,13,8464.65,1,3,3,133,Lost Customers
12058.0,74,15,5002.38,3,4,3,343,Loyal Customers
12059.0,26,23,11440.17,4,4,4,444,Champions
12060.0,9,20,11940.75,4,4,4,444,Champions
12061.0,76,6,16820.99,3,2,4,324,Potential Loyalists
12062.0,526,2,90.4,1,1,1,111,Lost Customers
12063.0,54,9,4216.04,3,2,3,323,Potential Loyalists
12064.0,75,3,1531.82,3,1,2,312,Potential Loyalists
12065.0,10,38,72965.77,4,4,4,444,Champions
12066.0,59,13,1696.7,3,3,2,332,Potential Loyalists
12067.0,10,47,55637.36,4,4,4,444,Champions
12068.0,94,9,4481.64,3,2,3,323,Potential Loyalists
12069.0,229,12,3605.63,2,3,3,233,At Risk
12070.0,4,40,55822.87,4,4,4,444,Champions
12071.0,71,9,1351.06,3,2,2,322,Potential Loyalists
12072.0,259,13,7859.65,2,3,3,233,At Risk
12073.0,385,1,47.45,1,1,1,111,Lost Customers
12074.0,288,13,4376.95,1,3,3,133,Lost Customers
12075.0,390,2,103.63,1,1,1,111,Lost Customers
12076.0,407,2,189.8,1,1,1,111,Lost Customers
12077.0,193,9,4966.85,2,2,3,223,At Risk
12078.0,85,3,2769.71,3,1,2,312,Potential Loyalists
12079.0,15,41,28100.280000000002,4,4,4,444,Champions
12080.0,36,37,59433.34,4,4,4,444,Champions
12081.0,517,1,50.22,1,1,1,111,Lost Customers
12082.0,425,2,1905.86,1,1,2,112,Lost Customers
12083.0,43,13,3791.53,4,3,3,433,Potential Loyalists
12084.0,147,8,2576.66,2,2,2,222,At Risk
12085.0,77,9,1787.2800000000002,3,2,2,322,Potential Loyalists
12086.0,16,32,29752.21,4,4,4,444,Champions
12087.0,280,1,127.08,2,1,1,211,At Risk
12088.0,54,3,4290.93,3,1,3,313,Potential Loyalists
12089.0,34,15,17449.12,4,4,4,444,Champions
12090.0,358,1,51.81,1,1,1,111,Lost Customers
12091.0,119,10,2879.42,2,3,2,232,At Risk
12092.0,304,3,437.45,1,1,1,111,Lost Customers
12093.0,247,5,2347.07,2,2,2,222,At Risk
12094.0,75,4,394.66,3,1,1,311,Potential Loyalists
12095.0,96,7,1461.97,3,2,2,322,Potential Loyalists
12096.0,2,43,35446.77,4,4,4,444,Champions
12097.0,77,12,3534.2,3,3,3,333,Potential Loyalists
12098.0,188,5,644.7500000000001,2,2,1,221,At Risk
12099.0,3,35,16222.12,4,4,4,444,Champions
12100.0,64,13,5968.9,3,3,3,333,Potential Loyalists
12101.0,347,16,7320.259999999999,1,4,3,143,Loyal Customers
12102.0,251,16,5314.35,2,4,3,243,Loyal Customers
12103.0,317,1,175.78,1,1,1,111,Lost Customers
