CustomerID,DaysSinceLast,Churned,ChurnRiskScore
12000,730,1,1.0
12001,130,1,0.722
12002,79,0,0.439
12003,405,1,1.0
12004,62,0,0.344
12005,253,1,1.0
12006,165,1,0.917
12007,65,0,0.361
12008,22,0,0.122
12009,57,0,0.317
12010,54,0,0.3
12011,97,1,0.539
12012,0,0,0.0
12013,125,1,0.694
12014,174,1,0.967
12015,114,1,0.633
12016,430,1,1.0
12017,164,1,0.911
12018,23,0,0.128
12019,62,0,0.344
12020,197,1,1.0
12021,1,0,0.006
12022,520,1,1.0
12023,573,1,1.0
12024,140,1,0.778
12025,122,1,0.678
12026,69,0,0.383
12027,95,1,0.528
12028,116,1,0.644
12029,0,0,0.0
12030,126,1,0.7
12031,418,1,1.0
12032,135,1,0.75
12033,3,0,0.017
12034,8,0,0.044
12035,730,1,1.0
12036,428,1,1.0
12037,4,0,0.022
12038,94,1,0.522
12039,3,0,0.017
12040,69,0,0.383
12041,441,1,1.0
12042,14,0,0.078
12043,128,1,0.711
12044,168,1,0.933
12045,730,0,1.0
12046,61,0,0.339
12047,567,1,1.0
12048,79,0,0.439
12049,116,1,0.644
12050,537,1,1.0
12051,171,1,0.95
12052,74,0,0.411
12053,176,1,0.978
12054,61,0,0.339
12055,6,0,0.033
12056,53,0,0.294
12057,326,1,1.0
12058,73,0,0.406
12059,25,0,0.139
12060,8,0,0.044
12061,75,0,0.417
12062,525,1,1.0
12063,53,0,0.294
12064,74,0,0.411
12065,9,0,0.05
12066,58,0,0.322
12067,9,0,0.05
12068,93,1,0.517
12069,228,1,1.0
12070,3,1,0.017
12071,70,0,0.389
12072,258,1,1.0
12073,384,1,1.0
12074,287,1,1.0
12075,389,1,1.0
12076,406,1,1.0
12077,192,1,1.0
12078,84,0,0.467
12079,14,0,0.078
12080,35,0,0.194
12081,516,0,1.0
12082,424,0,1.0
12083,42,0,0.233
12084,146,1,0.811
12085,76,0,0.422
12086,15,0,0.083
12087,279,1,1.0
12088,53,1,0.294
12089,33,0,0.183
12090,357,1,1.0
12091,118,1,0.656
12092,303,1,1.0
12093,246,1,1.0
12094,74,0,0.411
12095,95,1,0.528
12096,1,0,0.006
12097,76,0,0.422
12098,187,1,1.0
12099,2,0,0.011
12100,63,0,0.35
12101,346,1,1.0
12102,250,1,1.0
12103,316,1,1.0
12104,61,0,0.339
12105,1,0,0.006
12106,168,1,0.933
12107,51,1,0.283
12108,572,1,1.0
12109,121,1,0.672
12110,12,0,0.067
12111,26,0,0.144
12112,117,1,0.65
12113,730,1,1.0
12114,31,0,0.172
12115,42,0,0.233
12116,70,0,0.389
