CustomerID,SignupDate,AgeGroup,Gender,Country,City,PreferredChannel,LoyaltyTier,EmailOptIn,CustomerType
12000,2023-08-10,25-34,F,United Kingdom,City_62,Web,Gold,1,one_time
12001,2023-04-16,45-54,F,United Kingdom,City_194,Web,Gold,1,occasional
12002,2023-02-06,35-44,M,Germany,City_38,Mobile App,Silver,0,occasional
12003,2023-06-30,18-24,F,United Kingdom,City_109,Web,Bronze,0,one_time
12004,2023-06-30,45-54,F,United Kingdom,City_69,Mobile App,Platinum,1,occasional
12005,2023-09-16,25-34,F,United Kingdom,City_104,In-Store,Gold,1,at_risk
12006,2023-08-18,35-44,F,United Kingdom,City_40,Mobile App,Gold,1,occasional
12007,2023-06-03,25-34,F,United Kingdom,City_175,Web,Bronze,0,occasional
12008,2024-06-03,45-54,F,United Kingdom,City_108,In-Store,Bronze,1,occasional
12009,2024-01-06,35-44,M,United Kingdom,City_148,Web,Bronze,0,occasional
12010,2024-03-26,55-64,F,United Kingdom,City_173,Web,Gold,1,occasional
12011,2024-02-04,35-44,M,United Kingdom,City_8,In-Store,Gold,1,occasional
12012,2024-02-14,45-54,M,United Kingdom,City_67,Web,Silver,1,loyal
12013,2023-08-01,18-24,F,United Kingdom,City_120,Mobile App,Platinum,0,occasional
12014,2023-08-28,45-54,M,United Kingdom,City_147,Mobile App,Bronze,0,occasional
12015,2023-04-04,25-34,M,United Kingdom,City_137,Web,Bronze,0,occasional
12016,2023-04-27,45-54,F,United Kingdom,City_14,Mobile App,Silver,1,one_time
12017,2024-01-06,45-54,M,France,City_128,Web,Silver,1,at_risk
12018,2023-12-15,25-34,M,EIRE,City_168,Web,Silver,1,loyal
12019,2023-10-31,25-34,M,United Kingdom,City_181,Mobile App,Bronze,1,occasional
12020,2023-06-26,35-44,M,Belgium,City_69,Web,Bronze,1,occasional
12021,2023-09-03,35-44,F,United Kingdom,City_40,Mobile App,Bronze,1,loyal
12022,2023-03-03,25-34,M,United Kingdom,City_44,Mobile App,Platinum,0,one_time
12023,2023-04-28,35-44,M,United Kingdom,City_198,Phone,Gold,1,one_time
12024,2023-06-04,65+,F,United Kingdom,City_135,Web,Silver,1,occasional
12025,2023-05-30,45-54,F,United Kingdom,City_108,Web,Bronze,1,occasional
12026,2024-02-17,45-54,F,United Kingdom,City_16,Web,Gold,1,occasional
12027,2023-08-11,55-64,F,United Kingdom,City_29,Mobile App,Bronze,1,occasional
12028,2023-09-28,35-44,M,United Kingdom,City_3,Web,Bronze,0,occasional
12029,2023-06-16,18-24,F,United Kingdom,City_187,In-Store,Silver,1,loyal
12030,2023-11-17,25-34,Other,United Kingdom,City_148,Mobile App,Bronze,0,occasional
12031,2023-06-03,35-44,F,United Kingdom,City_20,Phone,Bronze,1,one_time
12032,2023-07-28,25-34,F,United Kingdom,City_142,In-Store,Bronze,1,occasional
12033,2023-11-22,25-34,M,United Kingdom,City_124,Web,Bronze,0,loyal
12034,2023-04-18,55-64,F,United Kingdom,City_93,In-Store,Silver,1,loyal
12035,2023-11-01,25-34,F,United Kingdom,City_13,Mobile App,Silver,1,one_time
12036,2023-10-21,18-24,M,United Kingdom,City_107,Web,Gold,1,one_time
12037,2023-12-02,25-34,F,United Kingdom,City_98,Mobile App,Silver,0,loyal
12038,2023-09-10,35-44,M,United Kingdom,City_196,Web,Silver,0,occasional
12039,2023-10-25,18-24,M,USA,City_175,Phone,Silver,1,loyal
12040,2024-01-05,65+,F,United Kingdom,City_39,Web,Gold,1,occasional
12041,2023-07-24,65+,F,United Kingdom,City_47,Web,Silver,1,one_time
12042,2023-11-06,45-54,F,EIRE,City_27,Phone,Bronze,0,loyal
12043,2023-08-08,25-34,F,Netherlands,City_131,Web,Bronze,1,occasional
12044,2023-09-17,25-34,M,United Kingdom,City_130,Mobile App,Bronze,1,occasional
12045,2024-01-02,55-64,M,United Kingdom,City_179,Web,Bronze,0,one_time
12046,2023-10-14,18-24,F,United Kingdom,City_33,In-Store,Bronze,0,occasional
12047,2023-02-28,65+,F,Spain,City_9,In-Store,Bronze,1,one_time
12048,2023-08-14,45-54,F,Spain,City_132,Mobile App,Silver,1,occasional
12049,2023-10-14,45-54,F,United Kingdom,City_147,Phone,Bronze,1,occasional
12050,2023-03-18,25-34,Other,Australia,City_131,Web,Bronze,1,one_time
12051,2024-01-15,35-44,M,United Kingdom,City_108,Mobile App,Silver,1,at_risk
12052,2023-06-22,35-44,M,United Kingdom,City_115,Web,Bronze,1,occasional
12053,2023-08-25,35-44,M,United Kingdom,City_2,Web,Gold,1,occasional
12054,2023-10-02,35-44,F,United Kingdom,City_28,Web,Silver,1,occasional
12055,2024-04-03,35-44,F,France,City_1,Web,Silver,0,loyal
12056,2023-09-20,35-44,M,United Kingdom,City_56,Mobile App,Gold,1,occasional
12057,2023-02-26,18-24,F,United Kingdom,City_59,Web,Silver,1,at_risk
12058,2023-05-19,35-44,M,United Kingdom,City_128,Web,Bronze,0,occasional
12059,2023-09-19,25-34,M,United Kingdom,City_193,Mobile App,Gold,1,loyal
12060,2023-04-15,55-64,M,United Kingdom,City_147,In-Store,Gold,1,loyal
12061,2023-11-07,55-64,Other,United Kingdom,City_77,Web,Bronze,1,occasional
12062,2023-06-01,25-34,M,United Kingdom,City_54,Mobile App,Bronze,1,one_time
12063,2024-04-22,35-44,F,United Kingdom,City_11,Mobile App,Silver,1,occasional
12064,2023-08-28,18-24,F,United Kingdom,City_48,Mobile App,Silver,1,occasional
12065,2023-05-08,25-34,F,United Kingdom,City_124,Phone,Silver,1,loyal
12066,2024-02-24,35-44,M,Netherlands,City_156,Web,Bronze,1,occasional
12067,2023-08-13,45-54,F,United Kingdom,City_71,Web,Silver,1,loyal
12068,2023-03-14,35-44,F,United Kingdom,City_150,Mobile App,Gold,1,occasional
12069,2023-10-18,25-34,F,Germany,City_50,Mobile App,Gold,1,at_risk
12070,2024-03-07,25-34,M,United Kingdom,City_149,Web,Bronze,1,loyal
12071,2024-01-19,35-44,Other,United Kingdom,City_85,Mobile App,Bronze,1,occasional
12072,2023-07-15,45-54,F,United Kingdom,City_164,Web,Bronze,1,at_risk
12073,2023-11-20,25-34,F,EIRE,City_50,Mobile App,Bronze,1,one_time
12074,2023-05-01,35-44,F,United Kingdom,City_186,Phone,Bronze,1,at_risk
12075,2023-07-14,25-34,M,Germany,City_144,Web,Bronze,0,one_time
12076,2023-06-01,18-24,F,Germany,City_32,Web,Gold,0,one_time
12077,2023-12-13,35-44,F,United Kingdom,City_151,In-Store,Gold,1,at_risk
12078,2023-02-05,25-34,F,United Kingdom,City_158,In-Store,Gold,0,occasional
12079,2024-03-15,45-54,F,Australia,City_10,Mobile App,Bronze,0,loyal
12080,2023-03-15,35-44,F,United Kingdom,City_117,Web,Bronze,1,loyal
12081,2023-05-27,25-34,M,United Kingdom,City_43,Mobile App,Silver,1,one_time
12082,2023-04-15,18-24,M,Norway,City_83,Web,Bronze,0,at_risk
12083,2023-11-08,25-34,F,United Kingdom,City_52,Mobile App,Gold,0,occasional
12084,2023-02-22,35-44,F,United Kingdom,City_133,Web,Bronze,1,occasional
12085,2023-03-04,25-34,F,United Kingdom,City_181,Mobile App,Platinum,1,occasional
12086,2023-09-10,35-44,F,United Kingdom,City_82,Web,Bronze,1,loyal
12087,2024-01-23,25-34,M,United Kingdom,City_29,Web,Gold,1,one_time
12088,2023-08-05,25-34,M,United Kingdom,City_173,Web,Silver,1,occasional
12089,2024-01-05,65+,M,United Kingdom,City_110,Phone,Platinum,0,loyal
12090,2023-10-31,18-24,F,United Kingdom,City_112,Phone,Bronze,0,one_time
12091,2023-03-12,45-54,M,United Kingdom,City_190,In-Store,Bronze,1,occasional
12092,2023-05-22,35-44,F,United Kingdom,City_17,In-Store,Bronze,1,occasional
12093,2023-02-13,25-34,F,EIRE,City_120,Phone,Silver,1,occasional
12094,2023-03-16,65+,M,United Kingdom,City_151,Mobile App,Bronze,1,occasional
12095,2023-07-07,35-44,M,United Kingdom,City_171,Mobile App,Silver,1,occasional
12096,2023-10-07,35-44,M,United Kingdom,City_3,Phone,Bronze,1,loyal
12097,2023-04-16,25-34,F,Germany,City_164,Web,Silver,1,occasional
12098,2023-03-29,25-34,F,EIRE,City_101,Web,Bronze,1,occasional
12099,2023-04-05,25-34,F,United Kingdom,City_188,Mobile App,Bronze,1,loyal
12100,2024-03-25,35-44,M,United Kingdom,City_82,Mobile App,Bronze,1,occasional
12101,2023-03-22,25-34,M,United Kingdom,City_173,Web,Bronze,1,at_risk
12102,2023-07-11,55-64,M,United Kingdom,City_4,Web,Bronze,1,at_risk
12103,2023-12-16,35-44,M,United Kingdom,City_109,Mobile App,Bronze,0,one_time
12104,2023-08-08,55-64,M,United Kingdom,City_126,Mobile App,Bronze,1,occasional
12105,2023-08-24,45-54,M,Switzerland,City_158,Web,Bronze,1,loyal
12106,2023-05-25,35-44,M,United Kingdom,City_73,Web,Bronze,1,occasional
12107,2023-01-10,45-54,M,United Kingdom,City_199,Web,Gold,0,loyal
12108,2023-03-25,25-34,F,United Kingdom,City_85,Mobile App,Bronze,1,one_time
12109,2023-06-30,35-44,F,France,City_186,Web,Silver,1,occasional
12110,2023-02-23,45-54,F,United Kingdom,City_144,Web,Silver,1,loyal
12111,2023-09-07,45-54,F,United Kingdom,City_20,Web,Silver,0,loyal
12112,2023-03-21,45-54,F,United Kingdom,City_131,In-Store,Silver,1,occasional
12113,2023-10-14,65+,F,United Kingdom,City_152,Web,Silver,1,one_time
12114,2024-03-15,35-44,F,United Kingdom,City_80,In-Store,Gold,1,occasional
12115,2023-06-14,35-44,M,United Kingdom,City_32,Web,Silver,1,loyal
12116,2023-06-22,65+,M,United Kingdom,City_128,Web,Silver,1,occasional
12117,2023-08-22,55-64,M,United Kingdom,City_60,Web,Bronze,0,loyal
12118,2023-02-01,25-34,M,France,City_190,Mobile App,Bronze,0,occasional
12119,2023-03-30,45-54,M,France,City_91,Mobile App,Bronze,1,occasional
12120,2024-03-04,25-34,M,United Kingdom,City_191,Web,Gold,1,one_time
12121,2023-05-21,55-64,F,Germany,City_77,In-Store,Silver,0,one_time
12122,2023-04-12,35-44,M,United Kingdom,City_113,Web,Silver,0,loyal
12123,2023-11-05,45-54,F,Portugal,City_63,Mobile App,Silver,1,one_time
12124,2023-02-23,25-34,F,United Kingdom,City_52,Web,Silver,1,loyal
12125,2024-01-23,45-54,M,Spain,City_127,Mobile App,Silver,0,one_time
12126,2023-09-18,45-54,F,United Kingdom,City_172,Web,Bronze,0,occasional
